anho,mes,dia,hora,object_id,position_x,position_y,sector
2020,01,25,23:25:35,0,226,294,pasillo
2020,01,25,23:25:35,0,223,287,pasillo
2020,01,25,23:25:35,0,224,280,pasillo
2020,01,25,23:25:35,0,220,276,pasillo
2020,01,25,23:25:35,0,218,271,pasillo
2020,01,25,23:25:35,0,218,267,pasillo
2020,01,25,23:25:35,0,216,261,pasillo
2020,01,25,23:25:35,0,217,255,pasillo
2020,01,25,23:25:35,0,217,250,pasillo
2020,01,25,23:25:35,0,215,244,pasillo
2020,01,25,23:25:35,0,216,239,pasillo
2020,01,25,23:25:35,0,217,233,pasillo
2020,01,25,23:25:35,0,217,228,pasillo
2020,01,25,23:25:35,0,214,222,pasillo
2020,01,25,23:25:35,0,211,216,pasillo
2020,01,25,23:25:35,0,212,210,pasillo
2020,01,25,23:25:35,0,209,204,pasillo
2020,01,25,23:25:35,0,210,198,pasillo
2020,01,25,23:25:35,0,207,192,pasillo
2020,01,25,23:25:35,0,207,187,pasillo
2020,01,25,23:25:35,0,205,182,pasillo
2020,01,25,23:25:35,0,207,177,pasillo
2020,01,25,23:25:35,0,205,173,pasillo
2020,01,25,23:25:35,0,206,169,pasillo
2020,01,25,23:25:35,0,205,164,pasillo
2020,01,25,23:25:35,0,205,159,pasillo
2020,01,25,23:25:35,0,203,154,pasillo
2020,01,25,23:25:35,0,204,149,pasillo
2020,01,25,23:25:35,0,201,143,pasillo
2020,01,25,23:25:35,0,226,294,pasillo
2020,01,25,23:25:35,0,223,287,pasillo
2020,01,25,23:25:35,0,224,280,pasillo
2020,01,25,23:25:35,0,220,276,pasillo
2020,01,25,23:25:35,0,218,271,pasillo
2020,01,25,23:25:35,0,218,267,pasillo
2020,01,25,23:25:35,0,216,261,pasillo
2020,01,25,23:25:35,0,217,255,pasillo
2020,01,25,23:25:35,0,217,250,pasillo
2020,01,25,23:25:35,0,215,244,pasillo
2020,01,25,23:25:35,0,216,239,pasillo
2020,01,25,23:25:35,0,217,233,pasillo
2020,01,25,23:25:35,0,217,228,pasillo
2020,01,25,23:25:35,0,214,222,pasillo
2020,01,25,23:25:35,0,211,216,pasillo
2020,01,25,23:25:35,0,212,210,pasillo
2020,01,25,23:25:35,0,209,204,pasillo
2020,01,25,23:25:35,0,210,198,pasillo
2020,01,25,23:25:35,0,207,192,pasillo
2020,01,25,23:25:35,0,207,187,pasillo
2020,01,25,23:25:35,0,205,182,pasillo
2020,01,25,23:25:35,0,207,177,pasillo
2020,01,25,23:25:35,0,205,173,pasillo
2020,01,25,23:25:35,0,206,169,pasillo
2020,01,25,23:25:35,0,205,164,pasillo
2020,01,25,23:25:35,0,205,159,pasillo
2020,01,25,23:25:35,0,203,154,pasillo
2020,01,25,23:25:35,0,204,149,pasillo
2020,01,25,23:25:35,0,201,143,pasillo
2020,01,25,23:25:35,0,201,143,pasillo
2020,01,25,23:25:35,0,200,136,pasillo
2020,01,25,23:25:35,0,201,130,pasillo
2020,01,25,23:25:35,0,198,124,pasillo
2020,01,25,23:25:35,0,199,118,pasillo
2020,01,25,23:25:35,0,196,112,pasillo
2020,01,25,23:25:35,0,197,107,pasillo
2020,01,25,23:25:35,0,194,102,pasillo
2020,01,25,23:25:35,0,195,97,pasillo
2020,01,25,23:25:35,0,192,93,pasillo
2020,01,25,23:25:35,0,193,88,pasillo
2020,01,25,23:25:35,0,190,83,pasillo
2020,01,25,23:25:35,0,191,78,pasillo
2020,01,25,23:25:35,0,188,72,pasillo
2020,01,25,23:25:35,0,189,67,pasillo
2020,01,25,23:25:35,0,186,61,pasillo
2020,01,25,23:25:35,0,187,57,pasillo
2020,01,25,23:25:35,0,185,52,pasillo
2020,01,25,23:25:35,0,186,48,pasillo
2020,01,25,23:25:35,0,184,44,pasillo
2020,01,25,23:25:35,0,183,41,pasillo
2020,01,25,23:25:35,0,182,34,pasillo
2020,01,25,23:25:35,0,180,29,pasillo
2020,01,25,23:25:35,0,181,24,pasillo
2020,01,25,23:25:35,0,180,22,pasillo
2020,01,25,23:25:35,0,180,20,pasillo
2020,01,25,23:25:35,0,179,19,pasillo
2020,01,25,23:25:35,0,178,6,pasillo
2020,01,25,23:25:35,0,174,3,pasillo
2020,01,25,23:25:35,0,175,-3,
2020,01,25,23:25:36,0,226,294,pasillo
2020,01,25,23:25:36,0,223,287,pasillo
2020,01,25,23:25:36,0,224,280,pasillo
2020,01,25,23:25:36,0,220,276,pasillo
2020,01,25,23:25:36,0,218,271,pasillo
2020,01,25,23:25:36,0,218,267,pasillo
2020,01,25,23:25:36,0,216,261,pasillo
2020,01,25,23:25:36,0,217,255,pasillo
2020,01,25,23:25:36,0,217,250,pasillo
2020,01,25,23:25:36,0,215,244,pasillo
2020,01,25,23:25:36,0,216,239,pasillo
2020,01,25,23:25:36,0,217,233,pasillo
2020,01,25,23:25:36,0,217,228,pasillo
2020,01,25,23:25:36,0,214,222,pasillo
2020,01,25,23:25:36,0,211,216,pasillo
2020,01,25,23:25:36,0,212,210,pasillo
2020,01,25,23:25:36,0,209,204,pasillo
2020,01,25,23:25:36,0,210,198,pasillo
2020,01,25,23:25:36,0,207,192,pasillo
2020,01,25,23:25:36,0,207,187,pasillo
2020,01,25,23:25:36,0,205,182,pasillo
2020,01,25,23:25:36,0,207,177,pasillo
2020,01,25,23:25:36,0,205,173,pasillo
2020,01,25,23:25:36,0,206,169,pasillo
2020,01,25,23:25:36,0,205,164,pasillo
2020,01,25,23:25:36,0,205,159,pasillo
2020,01,25,23:25:36,0,203,154,pasillo
2020,01,25,23:25:36,0,204,149,pasillo
2020,01,25,23:25:36,0,201,143,pasillo
2020,01,25,23:25:36,0,201,143,pasillo
2020,01,25,23:25:36,0,200,136,pasillo
2020,01,25,23:25:36,0,201,130,pasillo
2020,01,25,23:25:36,0,198,124,pasillo
2020,01,25,23:25:36,0,199,118,pasillo
2020,01,25,23:25:36,0,196,112,pasillo
2020,01,25,23:25:36,0,197,107,pasillo
2020,01,25,23:25:36,0,194,102,pasillo
2020,01,25,23:25:36,0,195,97,pasillo
2020,01,25,23:25:36,0,192,93,pasillo
2020,01,25,23:25:36,0,193,88,pasillo
2020,01,25,23:25:36,0,190,83,pasillo
2020,01,25,23:25:36,0,191,78,pasillo
2020,01,25,23:25:36,0,188,72,pasillo
2020,01,25,23:25:36,0,189,67,pasillo
2020,01,25,23:25:36,0,186,61,pasillo
2020,01,25,23:25:36,0,187,57,pasillo
2020,01,25,23:25:36,0,185,52,pasillo
2020,01,25,23:25:36,0,186,48,pasillo
2020,01,25,23:25:36,0,184,44,pasillo
2020,01,25,23:25:36,0,183,41,pasillo
2020,01,25,23:25:36,0,182,34,pasillo
2020,01,25,23:25:36,0,180,29,pasillo
2020,01,25,23:25:36,0,181,24,pasillo
2020,01,25,23:25:36,0,180,22,pasillo
2020,01,25,23:25:36,0,180,20,pasillo
2020,01,25,23:25:36,0,179,19,pasillo
2020,01,25,23:25:36,0,178,6,pasillo
2020,01,25,23:25:36,0,174,3,pasillo
2020,01,25,23:25:36,0,175,-3,
2020,01,25,23:25:36,0,175,-3,
2020,01,25,23:25:36,0,175,-3,
2020,01,25,23:25:36,0,175,-3,
