anho,mes,dia,hora,object_id,position_x,position_y,sector
2020,01,25,23:22:10,0,256,185,pasillo
2020,01,25,23:22:10,0,242,185,pasillo
2020,01,25,23:22:10,0,257,188,pasillo
2020,01,25,23:22:10,0,241,186,pasillo
2020,01,25,23:22:10,0,257,188,pasillo
2020,01,25,23:22:10,0,241,186,pasillo
2020,01,25,23:22:10,0,257,188,pasillo
2020,01,25,23:22:10,0,240,186,pasillo
2020,01,25,23:22:10,0,250,188,pasillo
2020,01,25,23:22:10,0,248,185,pasillo
2020,01,25,23:22:10,0,256,185,pasillo
2020,01,25,23:22:10,0,241,186,pasillo
2020,01,25,23:22:10,0,250,188,pasillo
2020,01,25,23:22:10,0,248,185,pasillo
2020,01,25,23:22:10,0,249,185,pasillo
2020,01,25,23:22:10,0,249,185,pasillo
2020,01,25,23:22:10,0,249,185,pasillo
2020,01,25,23:22:10,0,249,185,pasillo
2020,01,25,23:22:10,0,247,184,pasillo
2020,01,25,23:22:10,0,247,183,pasillo
2020,01,25,23:22:10,0,248,183,pasillo
2020,01,25,23:22:10,0,247,183,pasillo
2020,01,25,23:22:10,0,248,183,pasillo
2020,01,25,23:22:10,0,247,183,pasillo
2020,01,25,23:22:10,0,248,184,pasillo
2020,01,25,23:22:10,0,248,184,pasillo
2020,01,25,23:22:10,0,248,184,pasillo
2020,01,25,23:22:10,0,247,183,pasillo
2020,01,25,23:22:10,0,246,183,pasillo
2020,01,25,23:22:11,0,256,185,pasillo
2020,01,25,23:22:11,0,242,185,pasillo
2020,01,25,23:22:11,0,257,188,pasillo
2020,01,25,23:22:11,0,241,186,pasillo
2020,01,25,23:22:11,0,257,188,pasillo
2020,01,25,23:22:11,0,241,186,pasillo
2020,01,25,23:22:11,0,257,188,pasillo
2020,01,25,23:22:11,0,240,186,pasillo
2020,01,25,23:22:11,0,250,188,pasillo
2020,01,25,23:22:11,0,248,185,pasillo
2020,01,25,23:22:11,0,256,185,pasillo
2020,01,25,23:22:11,0,241,186,pasillo
2020,01,25,23:22:11,0,250,188,pasillo
2020,01,25,23:22:11,0,248,185,pasillo
2020,01,25,23:22:11,0,249,185,pasillo
2020,01,25,23:22:11,0,249,185,pasillo
2020,01,25,23:22:11,0,249,185,pasillo
2020,01,25,23:22:11,0,249,185,pasillo
2020,01,25,23:22:11,0,247,184,pasillo
2020,01,25,23:22:11,0,247,183,pasillo
2020,01,25,23:22:11,0,248,183,pasillo
2020,01,25,23:22:11,0,247,183,pasillo
2020,01,25,23:22:11,0,248,183,pasillo
2020,01,25,23:22:11,0,247,183,pasillo
2020,01,25,23:22:11,0,248,184,pasillo
2020,01,25,23:22:11,0,248,184,pasillo
2020,01,25,23:22:11,0,248,184,pasillo
2020,01,25,23:22:11,0,247,183,pasillo
2020,01,25,23:22:11,0,246,183,pasillo
2020,01,25,23:22:11,0,246,183,pasillo
2020,01,25,23:22:11,0,249,185,pasillo
2020,01,25,23:22:11,0,248,184,pasillo
2020,01,25,23:22:11,0,255,184,pasillo
2020,01,25,23:22:11,0,245,181,pasillo
2020,01,25,23:22:11,0,249,183,pasillo
2020,01,25,23:22:11,0,242,184,pasillo
2020,01,25,23:22:11,0,257,187,pasillo
2020,01,25,23:22:11,0,241,185,pasillo
2020,01,25,23:22:11,0,256,188,pasillo
2020,01,25,23:22:11,0,239,185,pasillo
2020,01,25,23:22:11,0,255,183,pasillo
2020,01,25,23:22:11,0,240,184,pasillo
2020,01,25,23:22:11,0,256,185,pasillo
2020,01,25,23:22:11,0,239,184,pasillo
2020,01,25,23:22:11,0,254,187,pasillo
2020,01,25,23:22:11,0,240,183,pasillo
2020,01,25,23:22:11,0,255,186,pasillo
2020,01,25,23:22:11,0,239,184,pasillo
2020,01,25,23:22:11,0,254,185,pasillo
2020,01,25,23:22:11,0,240,183,pasillo
2020,01,25,23:22:11,0,255,183,pasillo
2020,01,25,23:22:11,0,241,183,pasillo
2020,01,25,23:22:11,0,256,183,pasillo
2020,01,25,23:22:11,0,240,183,pasillo
2020,01,25,23:22:11,0,256,183,pasillo
2020,01,25,23:22:11,0,241,183,pasillo
2020,01,25,23:22:11,0,257,183,pasillo
2020,01,25,23:22:11,0,240,180,pasillo
2020,01,25,23:22:11,0,256,181,pasillo
2020,01,25,23:22:11,0,256,185,pasillo
2020,01,25,23:22:11,0,242,185,pasillo
2020,01,25,23:22:11,0,257,188,pasillo
2020,01,25,23:22:11,0,241,186,pasillo
2020,01,25,23:22:11,0,257,188,pasillo
2020,01,25,23:22:11,0,241,186,pasillo
2020,01,25,23:22:11,0,257,188,pasillo
2020,01,25,23:22:11,0,240,186,pasillo
2020,01,25,23:22:11,0,250,188,pasillo
2020,01,25,23:22:11,0,248,185,pasillo
2020,01,25,23:22:11,0,256,185,pasillo
2020,01,25,23:22:11,0,241,186,pasillo
2020,01,25,23:22:11,0,250,188,pasillo
2020,01,25,23:22:11,0,248,185,pasillo
2020,01,25,23:22:11,0,249,185,pasillo
2020,01,25,23:22:11,0,249,185,pasillo
2020,01,25,23:22:11,0,249,185,pasillo
2020,01,25,23:22:11,0,249,185,pasillo
2020,01,25,23:22:11,0,247,184,pasillo
2020,01,25,23:22:11,0,247,183,pasillo
2020,01,25,23:22:11,0,248,183,pasillo
2020,01,25,23:22:11,0,247,183,pasillo
2020,01,25,23:22:11,0,248,183,pasillo
2020,01,25,23:22:11,0,247,183,pasillo
